@relation Name00100

@attribute Channel1-Element1 numeric
@attribute Channel1-Element2 numeric
@attribute Channel1-Element3 numeric
@attribute Channel1-Element4 numeric
@attribute Channel1-Element5 numeric
@attribute Channel1-Element6 numeric
@attribute Channel1-Element7 numeric
@attribute Channel1-Element8 numeric
@attribute Channel1-Element9 numeric
@attribute Channel1-Element10 numeric
@attribute Channel1-Element11 numeric
@attribute Channel2-Element1 numeric
@attribute Channel2-Element2 numeric
@attribute Channel2-Element3 numeric
@attribute Channel2-Element4 numeric
@attribute Channel2-Element5 numeric
@attribute Channel2-Element6 numeric
@attribute Channel2-Element7 numeric
@attribute Channel2-Element8 numeric
@attribute Channel2-Element9 numeric
@attribute Channel2-Element10 numeric
@attribute Channel2-Element11 numeric
@attribute Channel3-Element1 numeric
@attribute Channel3-Element2 numeric
@attribute Channel3-Element3 numeric
@attribute Channel3-Element4 numeric
@attribute Channel3-Element5 numeric
@attribute Channel3-Element6 numeric
@attribute Channel3-Element7 numeric
@attribute Channel3-Element8 numeric
@attribute Channel3-Element9 numeric
@attribute Channel3-Element10 numeric
@attribute Channel3-Element11 numeric
@attribute Channel4-Element1 numeric
@attribute Channel4-Element2 numeric
@attribute Channel4-Element3 numeric
@attribute Channel4-Element4 numeric
@attribute Channel4-Element5 numeric
@attribute Channel4-Element6 numeric
@attribute Channel4-Element7 numeric
@attribute Channel4-Element8 numeric
@attribute Channel4-Element9 numeric
@attribute Channel4-Element10 numeric
@attribute Channel4-Element11 numeric
@attribute Class numeric

@data
6,7,11,214,35,10,7,7,8,11,11,7,8,14,199,43,11,8,7,7,7,8,7,8,13,245,40,12,8,8,8,9,8,8,9,14,206,43,11,8,7,7,7,7,1
7,8,14,565,31,11,9,8,9,8,7,6,7,11,242,28,11,9,8,7,5,4,10,11,18,483,39,13,9,8,7,8,7,5,6,10,178,25,9,7,7,9,11,8,1
6,6,11,190,36,11,9,9,10,8,7,6,7,12,179,38,11,8,7,6,6,5,7,8,12,183,39,10,7,7,7,9,10,3,4,6,102,22,6,5,5,8,14,10,1
7,8,13,194,33,11,8,7,7,7,6,7,7,13,192,32,11,8,8,8,7,5,8,9,14,316,29,9,6,6,6,7,7,3,4,6,175,18,6,4,5,8,14,9,1
5,6,10,174,35,11,9,9,9,7,5,6,7,11,179,36,11,8,9,10,9,6,6,7,11,176,35,10,7,6,7,8,7,4,4,7,114,25,7,6,7,12,11,7,1
7,8,13,200,34,12,10,10,9,7,5,7,8,13,261,30,11,8,8,9,8,7,5,5,9,202,25,9,7,7,8,7,5,5,6,10,196,28,9,7,7,8,8,7,0
7,8,13,192,41,12,9,9,10,9,7,6,7,11,169,37,11,8,9,11,11,8,6,6,11,170,37,11,8,8,7,6,5,6,7,11,166,36,10,7,7,7,7,6,0
10,11,18,520,32,10,7,6,7,8,8,6,7,11,794,32,10,8,9,11,11,8,6,7,12,220,29,11,8,8,7,6,5,7,9,14,353,35,11,7,7,7,7,6,0
6,7,11,174,36,10,7,8,11,15,10,5,5,9,139,30,9,7,7,10,11,8,5,6,11,173,35,10,8,8,7,7,6,7,8,13,193,41,12,9,8,8,9,8,0
7,8,13,186,30,10,8,8,11,13,9,4,5,9,200,27,9,7,9,13,11,6,6,7,11,173,28,9,6,6,7,8,8,6,7,12,206,33,11,8,8,8,7,6,0
5,6,10,151,33,9,7,7,10,13,9,5,5,9,142,30,9,7,7,10,11,8,6,7,11,171,33,9,6,6,7,8,8,5,6,10,172,36,11,9,10,10,8,7,0
5,6,10,394,27,9,7,7,8,10,10,5,5,9,417,28,9,8,9,11,9,6,5,6,10,340,28,8,6,6,7,8,9,6,7,11,171,29,10,8,8,9,9,8,0
5,6,9,130,27,7,4,4,4,4,6,6,7,12,193,37,11,8,8,9,10,9,5,6,10,171,33,9,7,7,8,9,9,5,6,10,164,33,10,8,8,10,12,11,0
5,5,9,498,26,7,5,5,5,6,7,7,8,13,254,33,10,7,7,8,10,11,6,7,11,304,30,10,7,7,8,9,8,5,6,10,157,27,10,8,9,12,11,9,2
6,7,11,170,35,10,7,7,7,7,8,9,10,15,221,41,10,7,5,6,7,9,7,8,13,198,43,13,9,9,9,8,7,5,6,10,154,34,10,8,9,11,12,10,2
5,6,9,225,27,9,7,8,9,9,7,9,10,16,962,39,11,7,6,5,6,8,7,8,14,449,37,12,9,9,9,9,7,5,6,10,194,28,10,9,11,12,9,6,2
5,6,10,157,33,10,7,7,8,8,7,8,9,14,202,40,10,6,5,5,5,6,7,8,13,232,43,13,10,9,8,7,6,6,6,11,176,32,9,6,5,5,6,7,2
7,8,13,188,33,12,9,9,10,9,8,9,10,15,189,30,8,5,4,3,4,5,6,7,11,1240,31,10,7,8,10,12,11,4,5,8,343,22,7,5,5,5,6,7,2
5,6,10,169,33,10,8,8,9,9,8,5,6,10,179,29,8,5,5,5,6,7,6,7,11,164,33,9,7,6,7,10,11,8,9,14,197,42,11,7,6,6,6,6,2
6,7,11,169,28,10,7,7,8,9,8,6,6,10,214,26,7,5,4,5,6,8,6,7,12,172,27,8,6,6,7,10,11,9,10,16,375,33,10,7,6,5,6,6,2
5,6,9,173,31,9,8,9,11,11,8,6,7,11,160,31,8,5,5,6,9,12,6,7,12,170,37,10,7,6,7,10,10,8,9,13,182,38,9,6,5,6,8,11,2
5,5,9,243,26,9,7,8,9,9,7,8,9,14,217,33,11,8,8,10,12,8,8,9,14,223,32,9,6,5,5,7,8,5,6,10,145,25,8,6,5,6,9,11,2
5,6,10,168,33,10,8,10,11,9,6,5,6,10,161,33,9,7,7,8,10,9,8,9,13,187,38,10,6,6,6,8,8,3,4,6,105,21,6,4,4,5,7,12,2
7,8,14,667,33,13,11,12,13,10,8,6,7,12,209,30,11,9,10,12,11,9,7,8,12,203,30,9,7,6,7,9,9,4,4,7,113,19,6,4,4,5,8,11,2
5,6,10,156,34,10,8,9,11,11,9,6,7,11,179,37,11,9,9,11,10,8,7,8,13,209,46,14,11,11,12,10,7,5,5,9,152,26,7,5,5,5,7,11,2
4,5,9,146,24,9,7,9,11,10,8,6,7,12,171,29,10,7,7,8,8,8,6,6,11,168,30,11,10,12,13,9,6,7,8,13,208,26,8,5,4,5,7,13,2
4,5,8,139,29,9,7,7,9,10,9,6,7,12,196,37,11,8,7,7,8,8,5,6,9,163,33,10,9,11,12,9,7,7,8,12,177,33,8,5,4,4,6,11,2
5,6,9,554,27,8,6,6,6,7,7,5,6,10,166,25,8,5,4,5,6,7,5,6,10,158,27,9,8,8,8,8,7,6,7,12,182,28,9,6,6,7,9,12,2
5,6,10,154,33,9,7,6,6,7,7,5,6,9,147,27,7,5,4,4,6,9,5,5,9,145,31,9,7,6,6,5,5,5,6,9,143,29,8,6,5,7,9,9,2
6,7,11,174,29,9,7,6,6,7,8,8,9,15,850,31,10,7,6,7,8,10,4,5,9,175,24,8,6,6,6,6,6,5,6,10,172,24,8,6,6,8,9,8,2
6,6,11,158,34,9,6,5,5,6,7,4,5,8,137,27,8,6,6,7,9,9,5,6,10,166,33,10,8,8,9,8,8,5,6,10,171,34,10,8,8,8,7,5,2
8,9,15,842,33,11,8,6,6,6,6,5,6,10,144,24,8,6,6,7,9,10,5,6,10,165,27,9,8,9,12,10,7,5,5,9,135,23,8,6,6,8,9,7,2
4,5,8,138,28,9,7,7,7,7,6,5,5,9,136,29,8,6,6,7,8,10,5,5,9,143,31,9,8,9,11,11,9,6,7,11,169,37,10,8,8,8,8,7,2
4,4,7,265,21,7,6,6,7,8,7,4,5,8,134,20,6,4,4,5,7,13,4,5,8,1066,24,8,7,8,11,12,8,6,7,12,242,30,9,7,6,7,9,9,2
4,5,8,124,27,8,6,7,9,8,7,5,6,9,140,29,8,6,5,6,9,14,4,5,8,129,27,8,6,7,9,11,9,7,8,12,176,37,10,6,6,6,7,9,2
5,5,9,136,24,8,7,7,9,10,8,7,8,14,200,30,9,6,5,6,7,11,5,6,11,357,24,9,7,7,8,9,8,8,9,14,186,31,9,6,5,5,6,7,2
5,5,9,178,30,9,8,10,15,11,6,7,8,12,183,40,10,7,7,8,10,12,5,5,9,141,29,8,6,6,8,11,10,5,5,9,143,29,8,6,6,6,8,9,2
6,7,12,175,28,10,8,8,12,13,8,6,7,11,149,25,8,5,5,6,9,15,7,8,13,341,33,10,7,7,8,9,9,6,7,12,187,31,11,8,8,7,7,7,2
5,6,10,159,34,10,8,9,12,13,10,5,6,10,143,30,8,5,5,6,11,13,7,8,12,186,39,10,7,7,8,10,10,6,7,11,178,39,12,9,8,7,6,6,2
6,7,11,311,30,9,7,6,7,10,13,5,6,10,191,25,8,6,6,7,12,15,9,11,17,287,37,12,8,7,7,9,9,6,7,12,181,32,11,9,9,8,6,6,2
8,9,14,199,42,11,7,6,6,8,12,6,6,10,156,33,9,6,6,7,10,14,7,8,13,188,40,10,7,6,7,8,7,7,8,13,229,42,12,9,8,7,6,5,2
8,9,15,689,43,13,9,8,8,8,8,6,7,12,188,30,9,7,6,7,9,12,6,7,11,181,30,10,8,7,7,6,5,7,8,13,358,35,11,7,7,7,7,7,2
8,9,15,219,49,14,10,9,9,8,8,6,7,11,163,35,9,6,6,6,8,11,5,6,10,171,33,9,7,6,6,6,5,8,9,15,214,42,11,7,7,7,9,9,2
8,9,16,913,36,13,10,8,7,7,6,7,8,12,305,32,9,6,6,6,7,9,6,7,12,335,28,10,8,8,9,8,6,8,9,15,843,42,13,9,8,8,8,8,2
5,6,10,160,35,11,9,9,10,8,7,7,8,13,186,40,10,7,6,6,6,6,5,5,9,142,29,9,7,8,11,11,7,6,7,12,198,40,12,9,8,8,8,7,2
5,6,10,756,29,9,6,6,7,9,9,7,7,12,947,35,11,7,6,6,6,6,6,7,13,1160,28,11,8,8,9,9,8,8,9,15,374,35,13,10,10,10,9,8,2
8,9,13,191,41,10,7,6,6,7,9,6,7,12,178,38,11,8,8,8,8,7,6,7,11,192,36,11,8,9,10,11,9,5,6,10,157,34,10,7,7,7,7,7,2
10,12,18,624,33,10,7,6,6,8,12,5,6,10,365,29,9,7,8,10,9,6,8,9,15,362,33,12,8,8,9,10,12,7,7,12,231,28,9,7,6,7,8,9,2
7,8,13,185,39,10,6,6,6,8,13,5,6,9,146,30,9,6,7,9,10,7,7,8,13,189,41,11,8,7,8,11,12,7,8,13,192,42,12,8,7,7,6,7,2
8,9,15,214,33,10,7,6,7,9,12,6,7,12,739,25,9,6,6,7,8,8,6,7,12,179,28,10,7,8,10,13,11,6,6,11,160,27,9,6,5,5,6,7,2
8,9,14,242,42,12,8,8,9,12,11,5,5,9,138,28,8,5,5,6,9,10,4,5,8,122,26,8,6,6,9,13,10,5,6,10,148,32,9,6,5,5,6,7,2
7,8,13,194,33,11,8,8,8,8,7,5,5,9,165,24,8,6,5,6,8,9,4,5,8,121,20,7,5,6,7,8,7,5,6,10,149,25,8,6,5,6,8,10,2
6,7,12,185,40,12,10,10,9,7,5,5,5,9,137,28,8,5,5,6,8,9,4,5,8,122,26,7,5,5,7,9,10,5,6,10,149,31,8,6,6,7,10,12,2
6,7,13,310,35,12,9,9,9,7,5,4,5,8,125,21,7,5,5,6,7,8,4,4,7,428,20,6,5,5,6,10,11,8,9,15,943,32,11,8,7,8,10,9,2
6,6,11,164,36,10,8,8,9,9,6,4,5,8,132,25,7,5,5,5,7,8,4,5,8,126,26,7,5,5,6,9,12,8,9,14,227,44,12,9,8,9,9,8,2
5,6,10,237,29,10,8,9,11,9,6,4,4,7,696,21,6,5,5,6,8,9,5,6,10,165,25,8,6,6,8,11,12,8,9,16,237,39,14,10,9,8,7,6,2
5,6,10,177,30,9,6,6,8,10,9,4,5,8,129,27,8,6,6,8,8,7,5,6,10,162,30,8,6,5,6,8,10,7,8,13,205,45,13,9,8,7,6,5,2
4,5,9,135,22,7,6,6,8,11,10,4,5,8,178,23,8,7,8,9,8,6,7,8,14,797,27,9,6,5,6,8,10,6,6,11,170,29,10,8,7,7,5,4,2
4,5,9,139,30,9,7,8,10,10,9,4,5,8,137,30,10,9,11,12,8,5,5,5,9,157,26,7,5,4,5,6,10,4,5,9,140,30,9,7,8,9,8,6,2
3,4,7,494,20,7,6,7,9,10,8,4,5,8,411,26,9,8,10,13,9,6,5,6,9,130,22,7,5,4,5,6,9,6,7,12,215,33,11,9,10,10,8,7,2
4,5,8,135,29,9,8,9,10,8,7,6,7,11,182,37,11,9,11,13,10,6,6,7,10,148,31,8,5,4,4,5,7,6,7,12,216,41,13,11,11,11,8,7,2
4,5,8,130,21,7,6,6,9,12,12,7,9,14,249,33,11,9,8,10,10,8,10,11,17,1033,29,8,5,4,4,4,6,6,7,13,264,36,13,10,10,10,9,9,0
6,6,10,150,31,8,5,5,6,9,14,5,6,10,160,33,10,8,9,12,11,7,6,7,12,178,38,11,8,7,8,9,8,7,8,14,237,45,14,10,9,8,8,8,0
7,8,12,292,31,9,7,6,8,12,14,6,7,12,366,28,10,7,7,9,10,10,7,8,13,200,32,11,9,9,10,10,8,8,9,14,270,31,10,7,6,6,8,11,0
8,9,14,245,43,12,9,8,8,9,9,5,6,10,164,34,10,7,7,8,9,9,6,6,11,174,36,11,9,9,11,10,7,5,6,10,162,36,10,8,8,10,10,8,0
6,7,12,361,33,11,8,7,7,6,5,6,7,12,276,32,10,8,7,7,8,9,5,6,10,170,26,10,8,10,12,10,8,6,7,13,261,32,13,11,12,9,6,5,0
7,8,13,205,43,12,8,7,6,6,6,7,8,13,204,43,12,9,7,7,7,7,4,5,8,155,28,9,7,7,7,6,6,6,7,11,190,38,12,11,11,10,7,5,0
7,7,12,166,28,8,5,4,4,5,6,8,10,17,854,37,13,10,8,8,7,7,5,6,10,210,28,10,8,8,8,6,6,7,8,12,411,38,12,9,8,9,9,8,0
7,8,12,171,36,9,6,5,5,6,7,6,7,11,179,37,11,8,7,8,8,9,5,5,9,153,31,10,9,10,10,8,6,7,7,12,197,38,11,8,8,10,12,12,0
7,8,13,194,29,9,6,5,5,6,7,6,7,11,216,29,9,7,7,7,7,7,5,5,9,319,27,9,8,9,11,10,7,6,7,12,167,29,9,7,7,9,13,12,1
6,7,11,159,34,9,6,6,6,6,6,5,6,9,164,31,9,7,7,8,7,6,4,5,8,127,28,9,8,10,13,9,6,6,6,11,172,33,10,7,7,10,13,10,1
5,6,9,260,26,9,7,7,8,7,6,6,6,11,163,26,8,6,5,6,7,7,6,7,13,391,29,11,8,8,8,8,7,6,7,12,429,32,10,7,7,8,9,10,1
5,6,9,159,30,9,7,7,8,9,7,4,5,8,126,25,7,5,4,5,7,10,3,3,6,92,19,6,4,5,8,13,7,5,6,10,196,35,11,9,9,8,6,5,1
6,7,11,779,33,10,8,8,8,8,7,4,4,7,244,20,6,5,6,8,11,9,3,3,6,129,16,5,4,5,9,14,8,5,6,10,154,27,9,8,8,8,7,6,1
6,7,12,186,37,11,8,7,7,8,8,4,5,8,136,26,8,6,6,9,12,8,5,6,9,149,30,8,6,6,8,12,11,5,5,9,150,31,9,7,8,9,9,7,1
7,8,14,979,40,13,9,8,7,6,6,7,8,14,709,31,11,9,10,11,10,7,7,8,13,353,28,9,6,5,6,8,12,5,5,9,166,25,8,7,7,8,8,7,1
5,6,11,171,35,10,8,8,9,9,8,5,6,10,158,33,9,7,7,8,8,7,7,8,13,182,38,10,6,5,6,8,11,5,6,10,156,33,10,7,8,10,11,9,1
6,7,12,614,36,11,8,8,9,10,10,6,7,11,228,32,9,6,6,6,7,7,7,8,13,400,30,8,5,5,5,7,10,6,7,11,174,29,10,8,9,11,11,9,1
7,8,13,210,41,12,9,8,9,11,10,5,6,10,157,32,9,7,7,8,9,8,7,8,12,179,39,10,7,6,7,8,7,5,5,9,150,30,9,7,8,11,11,9,1
6,7,11,273,31,10,8,8,10,11,8,5,6,10,147,25,8,6,6,7,8,8,5,5,9,171,25,8,6,6,8,10,8,5,5,9,327,27,9,7,7,9,10,9,1
8,9,14,236,43,12,9,8,8,8,7,4,5,8,135,27,8,6,7,9,11,9,4,5,8,135,27,8,6,6,7,11,10,7,8,13,210,42,12,8,7,7,8,8,1
8,9,16,228,36,11,8,6,6,6,6,7,8,13,362,29,10,7,7,9,13,15,5,6,10,153,25,9,7,8,10,9,7,9,11,18,720,39,14,10,9,9,8,7,1
8,9,14,216,47,13,9,8,8,7,7,4,4,7,120,24,7,5,5,6,10,15,4,4,7,135,25,8,7,10,12,8,5,7,8,13,198,44,13,10,10,9,6,4,1
7,8,13,197,33,12,9,9,8,7,6,4,5,9,129,21,7,5,5,7,11,14,4,4,7,451,22,7,6,8,11,8,5,7,8,13,325,37,13,10,9,8,6,5,1
6,7,11,169,36,10,8,8,9,10,9,4,4,7,104,22,6,4,4,5,8,12,4,5,8,131,27,8,7,10,11,7,4,5,6,10,170,37,11,9,10,10,8,7,1
6,7,12,348,32,11,8,9,10,10,9,3,4,6,228,17,5,4,4,6,7,6,6,7,12,991,28,11,9,11,12,9,5,4,4,8,295,24,7,6,6,6,6,6,1
5,6,9,149,32,9,7,8,9,10,9,5,5,9,143,27,7,5,5,5,6,7,6,7,11,172,38,11,9,10,10,8,6,3,4,7,123,22,7,5,5,6,8,8,1
6,7,13,1103,28,10,8,7,8,8,9,5,6,10,149,24,7,5,5,5,6,7,6,7,12,178,29,10,8,8,10,11,8,4,5,8,132,22,7,6,6,7,11,13,1
5,5,9,142,30,9,6,6,7,8,8,5,6,9,145,30,8,6,6,6,7,8,5,6,10,159,34,10,7,7,8,9,8,4,5,9,146,28,8,7,7,9,13,14,1
4,5,8,125,21,7,5,5,6,8,9,7,8,13,473,30,10,7,7,7,7,7,4,5,9,205,25,8,7,9,14,13,8,6,7,12,443,28,10,8,8,9,12,13,1
7,8,13,180,38,10,6,5,5,6,7,7,8,12,175,37,10,6,5,5,6,7,4,4,7,117,25,7,6,8,13,13,8,5,6,10,156,34,10,8,8,10,12,10,1
6,7,12,429,30,9,6,5,5,6,7,6,7,12,318,30,9,6,5,6,6,8,5,6,10,155,26,10,8,9,12,11,8,5,6,10,152,27,9,7,6,6,5,5,1
9,10,16,226,45,11,7,6,6,7,7,7,8,13,192,36,9,6,5,5,5,7,5,6,10,179,34,11,9,10,10,8,6,4,5,8,135,28,8,7,7,7,6,5,1
7,8,14,224,34,11,7,6,6,6,6,7,8,13,183,30,9,6,6,6,7,8,7,8,14,294,31,11,8,8,8,7,6,7,8,13,183,30,10,7,6,6,6,6,1
8,9,15,218,47,12,8,7,6,7,7,7,8,13,200,41,11,8,6,6,6,7,5,6,9,145,30,9,7,7,8,8,6,5,6,10,150,32,9,7,6,7,8,7,1
9,10,17,699,38,13,10,8,8,7,7,5,6,10,442,29,9,7,7,8,8,8,5,6,10,755,28,8,6,6,8,9,7,4,5,8,166,22,7,6,7,9,10,7,1
6,7,11,162,34,9,6,6,6,7,7,5,6,10,167,37,11,9,9,8,7,7,6,7,11,162,34,9,7,6,7,8,7,5,6,9,145,30,8,6,7,8,9,7,1
5,6,11,1237,24,9,7,7,8,8,7,6,7,13,273,31,11,8,8,7,7,6,6,7,11,212,35,10,8,7,7,7,7,6,6,11,151,26,8,6,6,8,11,9,1
3,4,6,110,22,7,5,6,8,10,8,5,6,10,148,31,9,6,6,6,6,6,7,8,13,184,40,11,7,6,7,8,10,5,5,9,140,29,8,6,6,8,11,8,1
4,5,9,131,23,8,6,6,8,9,9,5,6,9,145,24,8,6,5,6,7,7,7,8,13,212,33,10,7,6,7,9,12,7,8,13,514,27,9,6,6,6,8,9,1
6,7,11,168,32,9,6,6,7,9,10,4,5,8,128,24,7,5,4,5,6,7,7,7,12,179,38,10,7,7,7,9,12,5,5,9,138,30,9,6,6,7,7,6,1
7,8,13,197,34,11,9,8,8,8,8,6,7,11,185,28,10,7,7,6,6,5,6,7,12,324,25,8,6,5,6,8,10,4,4,8,186,21,7,5,6,7,10,9,1
7,8,13,189,41,11,8,7,7,7,8,6,7,12,192,37,11,8,8,8,9,8,4,5,8,128,26,7,5,4,5,5,6,6,7,11,167,36,10,7,7,7,8,8,1
7,8,13,344,33,10,7,6,6,6,7,6,7,12,1026,33,10,8,8,9,9,8,3,4,6,347,19,6,5,7,11,10,6,6,7,12,207,29,9,6,5,6,7,8,1
7,8,13,191,41,11,7,6,6,6,7,7,8,12,207,38,11,8,8,9,11,9,5,5,9,149,29,9,7,8,9,9,7,7,8,13,214,37,10,6,5,5,6,7,1
9,10,16,210,30,9,5,4,4,6,8,6,7,12,357,36,11,9,9,9,8,7,6,7,12,585,29,11,9,10,11,10,8,6,7,11,187,29,9,7,6,6,6,6,1
7,8,13,175,35,8,5,4,5,6,8,6,7,11,170,37,11,8,8,8,8,8,5,6,10,160,35,11,9,9,11,10,8,5,5,9,156,29,9,7,8,12,13,8,1
6,7,11,886,30,9,6,6,6,7,7,6,7,13,270,30,11,8,8,8,8,7,7,8,14,761,32,12,9,9,8,7,6,6,6,11,164,26,9,7,8,12,16,10,1
4,4,7,126,25,7,6,7,8,8,5,6,7,12,185,39,11,8,8,8,8,7,5,6,10,154,33,10,8,9,8,6,5,7,8,12,180,37,10,7,7,10,16,11,1
5,6,10,177,25,9,8,9,10,8,5,6,7,11,169,29,10,8,8,8,7,6,7,8,14,395,33,12,9,8,6,5,5,10,11,18,617,35,11,8,7,8,10,13,1
5,6,9,149,30,9,7,7,8,8,7,6,6,11,160,34,9,7,6,8,9,10,5,6,9,151,33,10,8,8,9,8,6,8,9,14,196,42,11,7,6,7,9,12,1
7,8,13,429,35,11,8,7,8,9,8,5,5,9,482,27,8,6,7,10,13,10,5,6,10,151,25,8,6,6,7,8,8,7,8,14,203,33,11,9,9,9,10,9,1
8,10,16,233,50,14,10,9,10,10,8,6,7,11,170,37,11,8,8,10,12,10,5,5,9,145,29,9,7,7,9,10,8,6,6,11,206,36,12,10,11,11,8,6,1
9,11,18,253,40,13,9,8,9,10,10,6,6,11,165,29,10,9,11,14,13,8,4,5,9,144,23,8,6,7,9,11,9,6,7,12,192,31,11,9,10,10,8,6,1
8,9,14,268,42,12,8,7,8,10,11,6,7,12,229,39,13,11,12,11,8,6,4,5,8,126,27,8,6,6,9,12,9,5,6,10,173,34,10,8,8,9,7,5,1
8,9,15,199,32,10,6,5,5,6,7,7,8,14,578,36,14,12,12,10,7,6,4,4,7,1657,21,7,5,6,11,14,8,6,7,11,162,27,8,6,5,5,6,6,1
5,6,10,153,31,8,6,5,5,6,7,7,7,12,195,41,12,9,9,9,9,9,4,5,8,126,26,7,6,6,9,12,10,5,5,8,139,26,7,5,4,5,7,9,1
6,7,11,413,29,9,6,6,6,7,8,8,9,15,223,34,11,7,7,7,9,12,4,5,8,1188,22,7,5,5,7,12,11,5,6,9,245,24,7,5,4,5,6,8,0
6,7,12,173,38,10,7,7,8,8,8,6,6,10,165,32,9,6,6,7,10,17,5,5,9,146,29,8,7,7,10,13,10,8,8,13,188,38,9,6,5,5,6,8,0
8,9,15,757,31,11,8,8,10,12,10,7,7,12,166,28,9,6,5,6,9,17,5,5,9,250,27,8,6,6,7,9,9,6,7,12,366,37,12,9,8,9,8,8,0
6,7,12,211,36,10,8,8,10,13,11,7,8,13,193,42,11,8,7,8,10,14,4,5,9,142,29,9,7,7,9,9,8,6,7,13,207,44,14,11,10,9,7,6,0
7,7,13,216,33,11,8,8,10,11,9,7,8,14,198,31,10,7,7,8,10,11,4,5,8,237,23,8,6,6,8,9,8,6,7,13,185,32,11,9,8,8,8,7,0
7,8,13,191,40,11,8,8,9,10,9,6,7,11,175,36,10,8,8,8,9,8,5,6,10,157,34,10,8,8,8,8,7,4,5,8,131,26,8,6,6,9,11,8,0
9,10,17,908,34,11,8,7,7,7,7,5,6,9,148,24,8,6,6,6,7,7,6,7,13,228,31,11,9,9,9,8,7,4,5,8,342,23,7,6,6,7,9,7,0
6,7,11,161,33,9,6,5,6,7,8,4,5,9,138,28,8,6,6,6,7,8,5,6,10,159,35,10,7,7,7,7,7,5,6,9,149,32,9,7,7,7,7,6,0
5,5,9,134,23,7,5,5,6,8,8,5,6,10,189,25,8,6,6,6,8,9,7,8,13,298,29,10,7,6,7,7,8,6,6,11,173,28,9,7,6,6,7,8,2
5,6,9,144,31,9,7,8,9,10,8,5,6,10,147,32,9,6,6,6,7,7,5,6,9,142,29,8,5,5,5,6,8,6,7,12,176,38,10,7,7,7,7,9,2
8,9,15,736,34,12,9,9,9,9,8,6,7,11,158,27,9,7,6,6,6,6,5,5,9,640,24,7,4,4,4,5,8,6,7,12,180,28,10,7,6,7,7,8,2
6,7,11,185,41,13,11,13,13,10,7,5,5,9,144,32,10,8,9,8,6,4,5,6,10,148,31,8,6,5,5,6,6,5,6,10,159,34,10,7,7,8,9,9,2
7,8,14,592,39,13,10,11,13,12,9,7,8,14,203,35,12,9,8,7,6,6,5,5,9,170,25,8,7,7,7,7,6,3,4,7,160,19,6,5,6,9,10,7,2
7,8,13,201,42,13,10,11,12,10,8,8,9,15,214,46,12,9,7,7,8,9,5,5,9,147,30,9,7,7,7,7,6,4,4,7,115,24,7,6,6,9,10,8,2
6,7,12,173,30,11,9,10,12,10,7,9,10,17,276,37,11,8,6,6,7,9,5,6,10,160,26,9,7,7,8,8,7,4,4,7,141,24,7,6,6,8,10,9,2
6,7,12,189,40,12,10,10,11,10,8,5,6,9,140,30,8,6,5,6,8,11,6,6,11,160,33,9,6,6,7,9,9,4,5,8,124,25,7,5,5,6,8,10,2
7,8,13,228,32,11,8,7,7,7,7,5,6,10,154,24,8,6,5,6,8,10,9,10,17,359,34,11,7,7,7,8,9,6,6,11,152,26,8,6,6,7,8,9,2
6,7,12,202,44,13,11,11,11,10,9,5,6,9,167,30,9,7,7,8,10,9,7,8,13,198,42,12,8,7,7,7,7,5,5,9,139,30,8,6,6,7,8,8,2
6,7,12,322,34,11,9,9,9,9,8,6,7,12,296,31,10,8,7,9,10,9,8,9,14,291,36,11,8,7,7,7,6,6,7,11,175,27,9,7,6,7,6,6,2
5,5,9,155,30,9,7,8,10,9,8,6,7,12,210,39,11,8,8,8,9,8,7,8,13,213,39,11,8,8,10,10,7,4,5,8,125,26,8,6,7,9,9,6,2
4,5,8,1201,25,8,6,6,7,8,8,8,9,15,211,37,12,9,8,8,7,7,6,7,12,633,35,11,8,9,11,10,6,6,7,12,187,27,9,6,6,6,8,8,2
5,5,9,143,30,8,6,6,6,6,6,5,6,10,159,34,10,7,7,8,8,8,6,7,12,185,39,12,9,10,11,10,7,5,5,9,131,28,8,5,5,7,9,8,2
5,6,10,704,29,9,7,7,7,6,6,6,7,12,386,27,9,7,7,7,8,8,7,8,12,321,32,10,7,7,8,10,9,4,5,8,162,21,7,5,4,5,8,9,2
6,6,10,180,33,10,7,7,7,7,7,4,5,9,149,29,9,7,7,8,8,8,6,7,11,184,38,12,10,10,10,8,6,4,5,8,129,27,8,6,6,7,8,8,2
5,6,10,1302,28,9,7,8,10,10,8,5,6,9,401,26,8,6,6,6,6,6,7,8,13,359,33,13,11,11,9,6,5,5,6,10,144,24,8,5,5,6,7,8,2
5,6,10,164,35,10,8,8,10,11,8,5,6,10,174,33,10,8,7,6,5,4,5,6,10,164,35,11,10,12,11,7,5,5,6,9,155,29,8,6,6,7,8,8,2
6,7,11,371,30,10,7,7,10,11,8,5,6,10,371,30,11,11,12,8,5,3,6,7,13,195,34,13,11,12,10,7,6,5,6,11,217,26,9,7,7,8,8,8,2
7,8,12,188,41,11,8,8,10,11,8,6,6,11,195,35,11,9,11,13,9,6,5,6,10,172,33,10,8,8,9,8,7,6,7,12,185,41,11,8,8,8,8,7,2
7,8,13,194,33,12,9,8,8,7,6,6,7,12,181,31,11,9,11,15,12,7,7,8,13,185,32,10,7,6,6,7,8,7,8,13,195,33,11,8,7,6,7,7,2
